# Region        : all region0
# Cells         : 63993
# Volume        : 4.13255031e-05
# Time          	volIntegrate(T)
1.20005e-07     	2.09932791e-02
2.64017e-07     	2.09931874e-02
4.36833e-07     	2.09930772e-02
6.44211e-07     	2.09929451e-02
8.93055e-07     	2.09927865e-02
1.19165e-06     	2.09925962e-02
1.5499e-06      	2.09923679e-02
1.97972e-06     	2.09920941e-02
2.49549e-06     	2.09917655e-02
3.11429e-06     	2.09913714e-02
3.85657e-06     	2.09908986e-02
4.74757e-06     	2.09903313e-02
5.81659e-06     	2.09896507e-02
7.09941e-06     	2.09888343e-02
8.63879e-06     	2.09878549e-02
1.04849e-05     	2.09866808e-02
1.26986e-05     	2.09852736e-02
1.53526e-05     	2.09835874e-02
1.85392e-05     	2.09815641e-02
2.23581e-05     	2.09791413e-02
2.6948e-05      	2.09762320e-02
3.24454e-05     	2.09727513e-02
3.90274e-05     	2.09685894e-02
4.69043e-05     	2.09636165e-02
5.63408e-05     	2.09576700e-02
6.63798e-05     	2.09513565e-02
7.64187e-05     	2.09450555e-02
8.64576e-05     	2.09387670e-02
9.64966e-05     	2.09324909e-02
0.000106535     	2.09262273e-02
0.000116574     	2.09199761e-02
0.000126613     	2.09137373e-02
0.000136652     	2.09075108e-02
0.000146691     	2.09012967e-02
0.00015673      	2.08950947e-02
0.000166769     	2.08889050e-02
0.000176808     	2.08827273e-02
0.000186847     	2.08765618e-02
0.000196886     	2.08704082e-02
0.000206925     	2.08642665e-02
0.000216964     	2.08581366e-02
0.000227003     	2.08520186e-02
0.000237042     	2.08459123e-02
0.00024708      	2.08398176e-02
0.000257119     	2.08337345e-02
0.000267158     	2.08276629e-02
0.000277197     	2.08216028e-02
0.000287236     	2.08155540e-02
0.000297275     	2.08095166e-02
0.000307314     	2.08034904e-02
0.000317353     	2.07974754e-02
0.000327392     	2.07914716e-02
0.000337431     	2.07854788e-02
0.00034747      	2.07794969e-02
0.000357509     	2.07735261e-02
0.000367548     	2.07675661e-02
0.000377587     	2.07616169e-02
0.000387625     	2.07556785e-02
0.000397664     	2.07497508e-02
0.000407703     	2.07438337e-02
0.000417742     	2.07379272e-02
0.000427781     	2.07320313e-02
0.00043782      	2.07261458e-02
0.000447859     	2.07202707e-02
0.000457898     	2.07144059e-02
0.000467937     	2.07085515e-02
0.000477976     	2.07027073e-02
0.000488015     	2.06968732e-02
0.000498054     	2.06910493e-02
0.000508093     	2.06852355e-02
0.000518131     	2.06794317e-02
0.00052817      	2.06736378e-02
0.000538209     	2.06678539e-02
0.000548248     	2.06620798e-02
0.000558287     	2.06563155e-02
0.000568326     	2.06505609e-02
0.000578365     	2.06448160e-02
0.000588404     	2.06390808e-02
0.000598443     	2.06333552e-02
0.000608482     	2.06276391e-02
0.000618521     	2.06219325e-02
0.00062856      	2.06162353e-02
0.000638599     	2.06105475e-02
0.000648638     	2.06048690e-02
0.000658676     	2.05991998e-02
0.000668715     	2.05935399e-02
0.000678754     	2.05878891e-02
0.000688793     	2.05822475e-02
0.000698832     	2.05766149e-02
0.000708871     	2.05709914e-02
0.00071891      	2.05653769e-02
0.000728949     	2.05597713e-02
0.000738988     	2.05541746e-02
0.000749027     	2.05485867e-02
0.000759066     	2.05430076e-02
0.000769105     	2.05374373e-02
0.000779144     	2.05318757e-02
0.000789183     	2.05263228e-02
0.000799221     	2.05207784e-02
0.00080926      	2.05152427e-02
0.000819299     	2.05097154e-02
0.000829338     	2.05041967e-02
0.000839377     	2.04986863e-02
0.000849416     	2.04931844e-02
0.000859455     	2.04876908e-02
0.000869494     	2.04822055e-02
0.000879533     	2.04767284e-02
0.000889572     	2.04712596e-02
0.000899611     	2.04657989e-02
0.00090965      	2.04603464e-02
0.000919689     	2.04549020e-02
0.000929728     	2.04494656e-02
0.000939766     	2.04440372e-02
0.000949805     	2.04386168e-02
0.000959844     	2.04332043e-02
0.000969883     	2.04277996e-02
0.000979922     	2.04224029e-02
0.000989961     	2.04170139e-02
0.001           	2.04116327e-02
