# Region        : all region0
# Cells         : 24891
# Volume        : 4.13267326e+04
# Time          	volIntegrate(rho)
1.20005e-07     	2.86514921e+04
2.64017e-07     	2.86514925e+04
4.36833e-07     	2.86514930e+04
6.44211e-07     	2.86514935e+04
8.93055e-07     	2.86514942e+04
1.19165e-06     	2.86514950e+04
1.5499e-06      	2.86514960e+04
1.97972e-06     	2.86514971e+04
2.49549e-06     	2.86514985e+04
3.11429e-06     	2.86515002e+04
3.85657e-06     	2.86515022e+04
4.74757e-06     	2.86515046e+04
5.81659e-06     	2.86515075e+04
7.09941e-06     	2.86515109e+04
8.63879e-06     	2.86515151e+04
1.04849e-05     	2.86515201e+04
1.26986e-05     	2.86515261e+04
1.53526e-05     	2.86515332e+04
1.85392e-05     	2.86515418e+04
2.23581e-05     	2.86515521e+04
2.6948e-05      	2.86515645e+04
3.24454e-05     	2.86515794e+04
3.90274e-05     	2.86515971e+04
4.69043e-05     	2.86516184e+04
5.63408e-05     	2.86516439e+04
6.63798e-05     	2.86516710e+04
7.64187e-05     	2.86516981e+04
8.64576e-05     	2.86517252e+04
9.64966e-05     	2.86517523e+04
0.000106535     	2.86517794e+04
0.000116574     	2.86518065e+04
0.000126613     	2.86518336e+04
0.000136652     	2.86518606e+04
0.000146691     	2.86518877e+04
0.00015673      	2.86519148e+04
0.000166769     	2.86519419e+04
0.000176808     	2.86519690e+04
0.000186847     	2.86519961e+04
0.000196886     	2.86520232e+04
0.000206925     	2.86520503e+04
0.000216964     	2.86520774e+04
0.000227003     	2.86521045e+04
0.000237042     	2.86521316e+04
0.00024708      	2.86521587e+04
0.000257119     	2.86521858e+04
0.000267158     	2.86522129e+04
0.000277197     	2.86522400e+04
0.000287236     	2.86522671e+04
0.000297275     	2.86522942e+04
0.000307314     	2.86523213e+04
0.000317353     	2.86523484e+04
0.000327392     	2.86523755e+04
0.000337431     	2.86524026e+04
0.00034747      	2.86524297e+04
0.000357509     	2.86524568e+04
0.000367548     	2.86524839e+04
0.000377587     	2.86525110e+04
0.000387625     	2.86525381e+04
0.000397664     	2.86525652e+04
0.000407703     	2.86525923e+04
0.000417742     	2.86526194e+04
0.000427781     	2.86526465e+04
0.00043782      	2.86526736e+04
0.000447859     	2.86527007e+04
0.000457898     	2.86527278e+04
0.000467937     	2.86527549e+04
0.000477976     	2.86527820e+04
0.000488015     	2.86528091e+04
0.000498054     	2.86528362e+04
0.000508093     	2.86528633e+04
0.000518131     	2.86528904e+04
0.00052817      	2.86529175e+04
0.000538209     	2.86529446e+04
0.000548248     	2.86529717e+04
0.000558287     	2.86529988e+04
0.000568326     	2.86530259e+04
0.000578365     	2.86530530e+04
0.000588404     	2.86530801e+04
0.000598443     	2.86531072e+04
0.000608482     	2.86531343e+04
0.000618521     	2.86531614e+04
0.00062856      	2.86531885e+04
0.000638599     	2.86532156e+04
0.000648638     	2.86532427e+04
0.000658676     	2.86532698e+04
0.000668715     	2.86532969e+04
0.000678754     	2.86533240e+04
0.000688793     	2.86533511e+04
0.000698832     	2.86533782e+04
0.000708871     	2.86534053e+04
0.00071891      	2.86534324e+04
0.000728949     	2.86534595e+04
0.000738988     	2.86534866e+04
0.000749027     	2.86535137e+04
0.000759066     	2.86535408e+04
0.000769105     	2.86535679e+04
0.000779144     	2.86535950e+04
0.000789183     	2.86536221e+04
0.000799221     	2.86536492e+04
0.00080926      	2.86536763e+04
0.000819299     	2.86537034e+04
0.000829338     	2.86537305e+04
0.000839377     	2.86537576e+04
0.000849416     	2.86537847e+04
0.000859455     	2.86538118e+04
0.000869494     	2.86538389e+04
0.000879533     	2.86538660e+04
0.000889572     	2.86538931e+04
0.000899611     	2.86539202e+04
0.00090965      	2.86539473e+04
0.000919689     	2.86539744e+04
0.000929728     	2.86540015e+04
0.000939766     	2.86540286e+04
0.000949805     	2.86540557e+04
0.000959844     	2.86540828e+04
0.000969883     	2.86541099e+04
0.000979922     	2.86541370e+04
0.000989961     	2.86541641e+04
0.001           	2.86541911e+04
