# Region        : all region0
# Cells         : 24891
# Volume        : 4.13267326e+04
# Time          	volIntegrate(T)
1.20005e-07     	2.09939802e+07
2.64017e-07     	2.09939802e+07
4.36833e-07     	2.09939802e+07
6.44211e-07     	2.09939802e+07
8.93055e-07     	2.09939802e+07
1.19165e-06     	2.09939802e+07
1.5499e-06      	2.09939802e+07
1.97972e-06     	2.09939802e+07
2.49549e-06     	2.09939802e+07
3.11429e-06     	2.09939802e+07
3.85657e-06     	2.09939802e+07
4.74757e-06     	2.09939802e+07
5.81659e-06     	2.09939802e+07
7.09941e-06     	2.09939802e+07
8.63879e-06     	2.09939802e+07
1.04849e-05     	2.09939802e+07
1.26986e-05     	2.09939802e+07
1.53526e-05     	2.09939802e+07
1.85392e-05     	2.09939802e+07
2.23581e-05     	2.09939802e+07
2.6948e-05      	2.09939802e+07
3.24454e-05     	2.09939802e+07
3.90274e-05     	2.09939802e+07
4.69043e-05     	2.09939802e+07
5.63408e-05     	2.09939802e+07
6.63798e-05     	2.09939802e+07
7.64187e-05     	2.09939802e+07
8.64576e-05     	2.09939802e+07
9.64966e-05     	2.09939802e+07
0.000106535     	2.09939802e+07
0.000116574     	2.09939802e+07
0.000126613     	2.09939802e+07
0.000136652     	2.09939802e+07
0.000146691     	2.09939802e+07
0.00015673      	2.09939802e+07
0.000166769     	2.09939802e+07
0.000176808     	2.09939802e+07
0.000186847     	2.09939802e+07
0.000196886     	2.09939802e+07
0.000206925     	2.09939802e+07
0.000216964     	2.09939802e+07
0.000227003     	2.09939802e+07
0.000237042     	2.09939802e+07
0.00024708      	2.09939802e+07
0.000257119     	2.09939802e+07
0.000267158     	2.09939802e+07
0.000277197     	2.09939802e+07
0.000287236     	2.09939802e+07
0.000297275     	2.09939802e+07
0.000307314     	2.09939802e+07
0.000317353     	2.09939802e+07
0.000327392     	2.09939802e+07
0.000337431     	2.09939802e+07
0.00034747      	2.09939802e+07
0.000357509     	2.09939802e+07
0.000367548     	2.09939802e+07
0.000377587     	2.09939802e+07
0.000387625     	2.09939802e+07
0.000397664     	2.09939802e+07
0.000407703     	2.09939802e+07
0.000417742     	2.09939802e+07
0.000427781     	2.09939802e+07
0.00043782      	2.09939802e+07
0.000447859     	2.09939802e+07
0.000457898     	2.09939802e+07
0.000467937     	2.09939802e+07
0.000477976     	2.09939802e+07
0.000488015     	2.09939802e+07
0.000498054     	2.09939802e+07
0.000508093     	2.09939802e+07
0.000518131     	2.09939802e+07
0.00052817      	2.09939802e+07
0.000538209     	2.09939802e+07
0.000548248     	2.09939802e+07
0.000558287     	2.09939802e+07
0.000568326     	2.09939802e+07
0.000578365     	2.09939802e+07
0.000588404     	2.09939802e+07
0.000598443     	2.09939802e+07
0.000608482     	2.09939802e+07
0.000618521     	2.09939802e+07
0.00062856      	2.09939802e+07
0.000638599     	2.09939802e+07
0.000648638     	2.09939802e+07
0.000658676     	2.09939802e+07
0.000668715     	2.09939802e+07
0.000678754     	2.09939802e+07
0.000688793     	2.09939802e+07
0.000698832     	2.09939802e+07
0.000708871     	2.09939802e+07
0.00071891      	2.09939802e+07
0.000728949     	2.09939802e+07
0.000738988     	2.09939802e+07
0.000749027     	2.09939802e+07
0.000759066     	2.09939802e+07
0.000769105     	2.09939802e+07
0.000779144     	2.09939802e+07
0.000789183     	2.09939802e+07
0.000799221     	2.09939802e+07
0.00080926      	2.09939802e+07
0.000819299     	2.09939802e+07
0.000829338     	2.09939802e+07
0.000839377     	2.09939802e+07
0.000849416     	2.09939802e+07
0.000859455     	2.09939802e+07
0.000869494     	2.09939802e+07
0.000879533     	2.09939802e+07
0.000889572     	2.09939802e+07
0.000899611     	2.09939802e+07
0.00090965      	2.09939802e+07
0.000919689     	2.09939802e+07
0.000929728     	2.09939802e+07
0.000939766     	2.09939802e+07
0.000949805     	2.09939802e+07
0.000959844     	2.09939802e+07
0.000969883     	2.09939802e+07
0.000979922     	2.09939802e+07
0.000989961     	2.09939802e+07
0.001           	2.09939802e+07
