safe,dsid,kind_hint,indp_policy,priority,already_have,notes
orientation_at_core,1030,tensor,last,high,0,full_catalog;ELDT;Orientation at core
orientation_at_skin,1040,tensor,last,high,0,full_catalog;ELDT;Orientation at skin
orientation_at_top_skin,1045,tensor,last,high,0,full_catalog;ELDT;Orientation at top skin
orientation_at_bottom_skin,1050,tensor,last,high,0,full_catalog;ELDT;Orientation at bottom skin
orientation_at_skin_fast_fill,1051,tensor,last,high,0,full_catalog;ELDT;Orientation at skin (fast fill)
shear_rate_bulk,1120,scalar,fill_and_last,high,0,full_catalog;ELDT;Shear rate; bulk
shear_stress_bulk,1125,scalar,fill_and_last,high,0,full_catalog;ELDT;Shear stress; bulk
pressure,1180,scalar,fill,have,1,already_have_csv
pressure_drop,1185,scalar,fill_and_last,high,0,reprobe_full_catalog
pressure_end_of_fill,1190,scalar,last,high,0,reprobe_full_catalog
hold_pressure,1195,scalar,last,high,0,reprobe_full_catalog
frozen_pressure,1197,scalar,fill,high,0,full_catalog;ELDT;Frozen pressure
bulk_temperature_eof,1220,scalar,last,high,0,reprobe_full_catalog
frozen_layer_eof,1230,scalar,last,high,0,reprobe_full_catalog
stress_end_of_pack,1303,scalar,last,high,0,full_catalog;ELDT;Stress. End of pack
average_velocity,1420,vector,fill,high,0,reprobe_full_catalog
volumetric_shrinkage_ejection,1440,scalar,last,high,0,reprobe_full_catalog
sink_marks_depth,1444,scalar,last,high,0,reprobe_full_catalog
flow_rate_beams,1450,scalar,last,high,0,full_catalog;ELDT;Flow rate; beams
bulk_temperature_eldt,1460,scalar,fill_and_last,high,0,reprobe_full_catalog
bulk_temperature_elemental,1465,scalar,fill_and_last,high,0,full_catalog;ELDT;Bulk temperature; elemental
bulk_temperature_nodal,1467,scalar,fill_and_last,high,0,reprobe_full_catalog
shear_stress_at_wall,1470,scalar,fill,high,0,reprobe_full_catalog
volumetric_shrinkage,1480,scalar,last,have,1,already_have_csv
frozen_layer_fraction,1490,scalar,fill_and_last,high,0,reprobe_full_catalog
sink_marks_index,1510,scalar,last,high,0,reprobe_full_catalog
time_to_ejection_temp,1520,scalar,last,high,0,reprobe_full_catalog
temperature_for_warp,1539,scalar,last,high,0,full_catalog;NDDT;Temperature for warp analysis
temperature,1540,scalar,fill,have,1,already_have_csv
temperature,1545,scalar,fill,have,1,already_have_csv
temperature_nodal,1547,scalar,fill,high,0,full_catalog;NDDT;Temperature; nodal
velocity_eldt,1555,vector,fill,high,0,reprobe_full_catalog
polymer_skin_fraction,1575,scalar,last,high,0,full_catalog;ELDT;Polymer skin fraction
polymer_skin_half_gap_thickness_top,1580,scalar,last,high,0,full_catalog;ELDT;Polymer skin; half gap thickness (top)
shear_rate,1584,scalar,fill,have,1,already_have_csv
shear_rate_eldt,1585,scalar,fill,high,0,reprobe_full_catalog
polymer_skin_half_gap_thickness_bottom,1590,scalar,last,high,0,full_catalog;ELDT;Polymer skin; half gap thickness (bottom
viscosity,1595,scalar,fill,high,0,full_catalog;NDDT;Viscosity
shear_rate_maximum,1597,scalar,fill,high,0,full_catalog;NDDT;Shear rate; maximum
density,1600,scalar,fill_and_last,high,0,full_catalog;NDDT;Density
polymer_skin_fraction_at_end_of_process,1605,scalar,last,high,0,full_catalog;ELDT;Polymer skin fraction at end of process
polymer_thickness_at_end_of_process,1608,scalar,last,high,0,full_catalog;ELDT;Polymer thickness at end of process
fill_time,1610,scalar,last,have,1,already_have_csv
unfilled_cavity,1611,scalar,last,high,0,reprobe_full_catalog
volumetric_shrinkage,1620,scalar,last,have,1,already_have_csv
volumetric_shrinkage_warp,1621,scalar,last,high,0,full_catalog;NDDT;Volumetric shrinkage for warp analysis
air_traps,1622,scalar,last,have,1,already_have_csv
air_traps_with_vents,1623,scalar,last,high,0,reprobe_full_catalog
freeze_time,1630,scalar,last,have,1,already_have_csv
polymer_fill_region,1649,scalar,last,high,0,full_catalog;NDDT;Polymer fill region
thickness_fraction_polymer_b,1655,scalar,last,high,0,full_catalog;ELDT;Thickness fraction; polymer B
thickness_fraction_of_polymer_b_at_end_of_proces,1665,scalar,last,high,0,full_catalog;ELDT;Thickness fraction of polymer B at end o
distribution_of_polymer_a_and_b,1675,scalar,last,high,0,full_catalog;ELDT;Distribution of polymer A and B
distribution_of_polymer_a_red_b_blue_laminated,1685,scalar,last,high,0,full_catalog;ELDT;Distribution of polymer A (red) & B (blu
distribution_of_polymer_a_and_b_at_end_of_proces,1690,scalar,last,high,0,full_catalog;ELDT;Distribution of polymer A and B at end o
weld_lines,1722,scalar,last,high,0,reprobe_full_catalog
weld_meld_lines,1732,scalar,last,high,0,reprobe_full_catalog
melt_flow_direction_warp,1745,vector,last,high,0,full_catalog;NDDT;Melt flow direction for warp analysis
velocity,1750,vector,fill,have,1,already_have_csv
pressure_vp_switchover,1760,scalar,last,high,0,full_catalog;NDDT;Pressure at V/P switchover
temperature_at_flow_front,1770,scalar,last,high,0,full_catalog;NDDT;Temperature at flow front
temperature_end_of_fill,1771,scalar,last,high,0,reprobe_full_catalog
real_thickness_cavity,1802,scalar,last,high,0,full_catalog;ELDT;Real thickness; cavity
stress_normal_to_the_core,1803,scalar,last,high,0,full_catalog;NDDT;Stress normal to the core
von_mises_stress_core,1810,scalar,last,high,0,full_catalog;ELDT;Von Mises Stress; core
maximum_von_mises_stress,1811,scalar,last,high,0,full_catalog;ELDT;Maximum Von Mises Stress
residual_stress_tensor,1814,tensor,last,high,0,full_catalog;ELDT;Residual stress tensor
best_gate_location,2050,scalar,last,high,0,full_catalog;NDDT;Best gate location
volume_change,2920,scalar,last,high,0,full_catalog;ELDT;Volume Change
shear_modulus_g12,3030,scalar,fill,high,0,full_catalog;ELDT;Shear modulus (G12)
shear_modulus_g23,3032,scalar,fill,high,0,full_catalog;ELDT;Shear modulus (G23)
shear_modulus_g13,3034,scalar,fill,high,0,full_catalog;ELDT;Shear modulus (G13)
angle_of_first_principal_stress_in_elemental_coo,3052,scalar,last,high,0,full_catalog;ELDT;Angle of first principal stress in eleme
in_cavity_residual_stress_in_first_principal_dir,3060,scalar,last,high,0,full_catalog;ELDT;In-cavity residual stress in first princ
in_cavity_residual_stress_in_second_principal_di,3062,scalar,last,high,0,full_catalog;ELDT;In-cavity residual stress in second prin
temperature_difference_from_mold_walls,3064,scalar,fill,high,0,full_catalog;ELDT;Temperature difference from mold walls
average_temperature_from_mold_walls,3065,scalar,fill,high,0,full_catalog;ELDT;Average temperature from mold walls
parallel_shrinkage_strain_model,3080,scalar,last,high,0,full_catalog;ELDT;Parallel shrinkage (strain model)
perpendicular_shrinkage_strain_model,3085,scalar,last,high,0,full_catalog;ELDT;Perpendicular shrinkage (strain model)
orientation_effect,3095,tensor,last,high,0,full_catalog;ELDT;Orientation effect
tensile_modulus_in_first_principal_direction_3d,3110,scalar,last,high,0,full_catalog;ELDT;Tensile modulus in first principal direc
tensile_modulus_in_second_principal_direction_3d,3112,scalar,last,high,0,full_catalog;ELDT;Tensile modulus in second principal dire
tensile_modulus_in_third_principal_direction_3d,3114,scalar,last,high,0,full_catalog;ELDT;Tensile modulus in third principal direc
poisson_s_ratio_v12_3d_fiber,3120,scalar,last,high,0,full_catalog;ELDT;Poisson's ratio (v12) (3D fiber)
poisson_s_ratio_v23_3d_fiber,3122,scalar,last,high,0,full_catalog;ELDT;Poisson's ratio (v23) (3D fiber)
poisson_s_ratio_v13_3d_fiber,3124,scalar,last,high,0,full_catalog;ELDT;Poisson's ratio (v13) (3D fiber)
shear_modulus_g12_3d_fiber,3130,scalar,fill,high,0,full_catalog;ELDT;Shear modulus (G12) (3D fiber)
shear_modulus_g23_3d_fiber,3132,scalar,fill,high,0,full_catalog;ELDT;Shear modulus (G23) (3D fiber)
shear_modulus_g13_3d_fiber,3134,scalar,fill,high,0,full_catalog;ELDT;Shear modulus (G13) (3D fiber)
linear_thermal_expansion_coefficient_in_first_pr,3140,scalar,last,high,0,full_catalog;ELDT;Linear thermal expansion coefficient in 
linear_thermal_expansion_coefficient_in_second_p,3142,scalar,last,high,0,full_catalog;ELDT;Linear thermal expansion coefficient in 
linear_thermal_expansion_coefficient_in_third_pr,3144,scalar,last,high,0,full_catalog;ELDT;Linear thermal expansion coefficient in 
initial_stress_tensor,3150,tensor,last,high,0,reprobe_full_catalog
fiber_orientation_avg,4000,tensor,last,high,0,reprobe_full_catalog
fiber_orientation_tensor_eigenvector,4008,tensor,last,high,0,full_catalog;ELDT;Fiber orientation tensor eigenvector
fiber_orientation_tensor_on_elements,4009,tensor,last,high,0,full_catalog;ELDT;Fiber orientation tensor on elements
fiber_orientation_tensor,4010,tensor,last,high,0,full_catalog;ELDT;Fiber orientation tensor
fiber_orientation_tensor_restart,4011,tensor,last,high,0,full_catalog;ELDT;Fiber orientation tensor (restart)
fiber_orientation_tensor_restart,4012,tensor,last,high,0,full_catalog;NDDT;Fiber orientation tensor (restart)
tensile_modulus_in_first_principal_direction_fib,4020,scalar,last,high,0,full_catalog;ELDT;Tensile modulus in first principal direc
fiber_orientation_tensor,4021,tensor,last,high,0,reprobe_full_catalog
tensile_modulus_in_second_principal_direction_fi,4030,scalar,last,high,0,full_catalog;ELDT;Tensile modulus in second principal dire
shear_modulus_fiber,4040,scalar,fill,high,0,full_catalog;ELDT;Shear modulus (fiber)
poisson_s_ratio_fiber,4050,scalar,last,high,0,full_catalog;ELDT;Poisson's ratio (fiber)
linear_thermal_expansion_coefficient_in_first_pr,4060,scalar,last,high,0,full_catalog;ELDT;Linear thermal expansion coefficient in 
linear_thermal_expansion_coefficient_in_second_p,4065,scalar,last,high,0,full_catalog;ELDT;Linear thermal expansion coefficient in 
circuit_pressure_nodal,5010,scalar,fill,high,0,full_catalog;NDDT;Circuit pressure; nodal
circuit_pressure,5011,scalar,fill,high,0,full_catalog;ELDT;Circuit pressure
circuit_coolant_temperature,5021,scalar,fill,high,0,full_catalog;ELDT;Circuit coolant temperature
circuit_flow_rate,5030,scalar,last,high,0,full_catalog;ELDT;Circuit flow rate
circuit_metal_temperature,5050,scalar,fill,high,0,full_catalog;ELDT;Circuit metal temperature
temperature_mold_top,5110,scalar,fill,high,0,full_catalog;ELDT;Temperature; mold (top)
temperature_mold,5111,scalar,fill,high,0,full_catalog;ELDT;Temperature; mold
temperature_part,5112,scalar,fill,high,0,full_catalog;ELDT;Temperature; part
temperature_part_top,5113,scalar,fill,high,0,full_catalog;ELDT;Temperature; part (top)
temperature_part_bottom,5114,scalar,fill,high,0,full_catalog;ELDT;Temperature; part (bottom)
temperature_at_surface_cold_runner,5120,scalar,fill,high,0,full_catalog;ELDT;Temperature at surface; cold runner
temperature_at_surface_hot_runner,5130,scalar,fill,high,0,full_catalog;ELDT;Temperature at surface; hot runner
time_to_reach_ejection_temperature_part,5140,scalar,last,high,0,full_catalog;ELDT;Time to reach ejection temperature; part
time_to_reach_ejection_temperature_cold_runner,5150,scalar,last,high,0,full_catalog;ELDT;Time to reach ejection temperature; cold
temperature_mold_bottom,5160,scalar,fill,high,0,full_catalog;ELDT;Temperature; mold (bottom)
temperature_difference_part,5170,scalar,fill,high,0,full_catalog;ELDT;Temperature difference; part
temperature_maximum_part,5180,scalar,fill,high,0,full_catalog;ELDT;Temperature; maximum; part
temperature_maximum_cold_runner,5190,scalar,fill,high,0,full_catalog;ELDT;Temperature; maximum; cold runner
average_temperature_part,5200,scalar,fill,high,0,full_catalog;ELDT;Average temperature; part
average_temperature_cold_runner,5210,scalar,fill,high,0,full_catalog;ELDT;Average temperature; cold runner
maximum_temperature_position_part,5220,scalar,fill,high,0,full_catalog;ELDT;Maximum temperature position; part
frozen_layer_percentage_part_top,5230,scalar,fill_and_last,high,0,full_catalog;ELDT;Frozen layer percentage; part (top)
frozen_layer_percentage_part_bottom,5235,scalar,fill_and_last,high,0,full_catalog;ELDT;Frozen layer percentage; part (bottom)
temperature_profile_part,5240,scalar,fill,high,0,full_catalog;ELDT;Temperature profile; part
temperature_profile_cold_runner,5250,scalar,fill,high,0,full_catalog;ELDT;Temperature profile; cold runner
temperature_profile_hot_runner,5260,scalar,fill,high,0,full_catalog;ELDT;Temperature profile; hot runner
percentage_frozen_layer_cold_runner,5270,scalar,fill_and_last,high,0,full_catalog;ELDT;Percentage frozen layer; cold runner
mold_melt_temperature_difference_top_part,5280,scalar,fill,high,0,full_catalog;ELDT;Mold-melt temperature difference (Top); 
mold_melt_temperature_difference_bottom_part,5290,scalar,fill,high,0,full_catalog;ELDT;Mold-melt temperature difference (Bottom
temperature_mold_boundary,5510,scalar,fill,high,0,full_catalog;ELDT;Temperature; mold boundary
temperature_insert_top,5520,scalar,fill,high,0,full_catalog;ELDT;Temperature; insert (top)
temperature_insert_bottom,5530,scalar,fill,high,0,full_catalog;ELDT;Temperature; insert (bottom)
temperature_difference_insert,5540,scalar,fill,high,0,full_catalog;ELDT;Temperature difference; insert
temperature_parting_plane_top,5550,scalar,fill,high,0,full_catalog;ELDT;Temperature; parting plane (top)
temperature_parting_plane_bottom,5560,scalar,fill,high,0,full_catalog;ELDT;Temperature; parting plane (bottom)
temperature_difference_parting_plane,5570,scalar,fill,high,0,full_catalog;ELDT;Temperature difference; parting plane
temperature_part,5600,scalar,fill,high,0,full_catalog;NDDT;Temperature; part
temperature_part_insert,5605,scalar,fill,high,0,full_catalog;NDDT;Temperature; part insert
time_to_reach_ejection_temperature_part,5610,scalar,last,high,0,full_catalog;NDDT;Time to reach ejection temperature; part
percentage_frozen_layer,5620,scalar,fill_and_last,high,0,full_catalog;NDDT;Percentage frozen layer
mold_melt_temperature_difference,5635,scalar,fill,high,0,full_catalog;NDDT;Mold-melt temperature difference
temperature_cold_runner,5640,scalar,fill,high,0,full_catalog;ELDT;Temperature; cold runner
time_to_reach_ejection_temperature_cold_runner,5650,scalar,last,high,0,full_catalog;ELDT;Time to reach ejection temperature; cold
temperature_hot_runner,5660,scalar,fill,high,0,full_catalog;ELDT;Temperature; hot runner
temperature_residual_part,5670,scalar,fill,high,0,full_catalog;ELDT;Temperature residual; part
temperature_residual_inserts,5680,scalar,fill,high,0,full_catalog;ELDT;Temperature residual; inserts
temperature_residual_exterior_shell,5690,scalar,fill,high,0,full_catalog;ELDT;Temperature residual; exterior shell
temperature_core,5701,scalar,fill,high,0,full_catalog;NDDT;Temperature; core
temperature_mold,5702,scalar,fill,high,0,full_catalog;NDDT;Temperature mold
change_in_refractive_index_after_warpage,6160,scalar,last,high,0,full_catalog;ELDT;Change in refractive index after Warpage
deflection_all_effects,6250,vector,last,high,0,force_export_all; warp_component
deflection_diff_cooling,6252,scalar,last,high,0,force_export_all; warp_component
deflection_diff_shrinkage,6254,scalar,last,high,0,force_export_all; warp_component
deflection_orientation,6256,tensor,last,high,0,force_export_all; warp_component
deflection_corner,6258,scalar,last,high,0,force_export_all; warp_component
deflection_large_warp,6260,scalar,last,high,0,force_export_all; warp_component
mode_shape_differential_shrinkage,6274,scalar,last,high,0,full_catalog;NDDT;Mode shape; differential shrinkage
mode_shape_orientation_effects,6276,tensor,last,high,0,full_catalog;NDDT;Mode shape; orientation effects
stress_tensor_warp,6300,tensor,last,high,0,full_catalog;ELDT;Stress tensor (warp)
stress_in_first_principal_direction_warp,6301,scalar,last,high,0,full_catalog;ELDT;Stress in first principal direction (war
stress_in_second_principal_direction_warp,6302,scalar,last,high,0,full_catalog;ELDT;Stress in second principal direction (wa
maximum_shear_stress_warp,6303,scalar,fill,high,0,full_catalog;ELDT;Maximum shear stress (warp)
stress_mises_hencky_warp,6304,scalar,last,high,0,full_catalog;ELDT;Stress; Mises-Hencky (warp)
stress_tensor_warp,6310,tensor,last,high,0,full_catalog;ELDT;Stress tensor (warp)
strain_tensor_warp,6311,tensor,last,high,0,full_catalog;ELDT;Strain tensor (warp)
maximum_shear_stress_warp,6313,scalar,fill,high,0,full_catalog;ELDT;Maximum shear stress (warp)
stress_mises_hencky_warp,6314,scalar,last,high,0,full_catalog;ELDT;Stress; Mises-Hencky (warp)
strain_tensor_warp,6350,tensor,last,high,0,full_catalog;ELDT;Strain tensor (warp)
strain_in_first_principal_direction_warp,6351,scalar,last,high,0,full_catalog;ELDT;Strain in first principal direction (war
strain_in_second_principal_direction_warp,6352,scalar,last,high,0,full_catalog;ELDT;Strain in second principal direction (wa
isotropic_shrinkage,6400,scalar,last,high,0,full_catalog;ELDT;Isotropic shrinkage
anisotropic_shrinkage,6402,scalar,last,high,0,full_catalog;ELDT;Anisotropic shrinkage
material_orientation,6406,tensor,last,high,0,full_catalog;ELDT;Material orientation
parallel_shrinkage_before_warpage,6410,scalar,last,high,0,full_catalog;ELDT;Parallel shrinkage; before warpage
perpendicular_shrinkage_before_warpage,6412,scalar,last,high,0,full_catalog;ELDT;Perpendicular shrinkage; before warpage
deflection_small_deflection_stress_x_component_y,6520,scalar,last,high,0,force_export_all; warp_component
deflection_large_deflection_stress_x_component_y,6530,scalar,last,high,0,force_export_all; warp_component
stress_tensor,6600,tensor,last,high,0,full_catalog;ELDT;Stress tensor
stress_in_first_principal_direction_stress,6601,scalar,last,high,0,full_catalog;ELDT;Stress in first principal direction (str
stress_in_second_principal_direction_stress,6602,scalar,last,high,0,full_catalog;ELDT;Stress in second principal direction (st
maximum_shear_stress_stress,6603,scalar,fill,high,0,full_catalog;ELDT;Maximum shear stress (stress)
stress_mises_hencky_stress,6604,scalar,last,high,0,full_catalog;ELDT;Stress; Mises-Hencky (stress)
stress_tensor_stress,6605,tensor,last,high,0,full_catalog;ELDT;Stress tensor (stress)
maximum_shear_stress_stress,6606,scalar,fill,high,0,full_catalog;ELDT;Maximum shear stress (stress)
stress_mises_hencky_stress,6607,scalar,last,high,0,full_catalog;ELDT;Stress; Mises-Hencky (stress)
strain_tensor_stress,6608,tensor,last,high,0,full_catalog;ELDT;Strain tensor (stress)
residual_stress_nodal,6610,tensor,last,high,0,reprobe_full_catalog
residual_stress_warp,6611,tensor,last,high,0,reprobe_full_catalog
strain_in_first_principal_direction_stress,6651,scalar,last,high,0,full_catalog;ELDT;Strain in first principal direction (str
strain_in_second_principal_direction_stress,6652,scalar,last,high,0,full_catalog;ELDT;Strain in second principal direction (st
nodal_force,6700,scalar,last,high,0,full_catalog;NDDT;Nodal force
maximum_pressure_difference,6750,scalar,fill,high,0,full_catalog;ELDT;Maximum pressure difference
deflection_small_deflection_wire_sweep_x_compone,6760,scalar,last,high,0,force_export_all; warp_component
deflection_large_deflection_wire_sweep_x_compone,6761,scalar,last,high,0,force_export_all; warp_component
stress_in_first_principal_direction_wire_sweep,6762,scalar,last,high,0,full_catalog;ELDT;Stress in first principal direction (wir
stress_in_second_principal_direction_wire_sweep,6763,scalar,last,high,0,full_catalog;ELDT;Stress in second principal direction (wi
maximum_shear_stress_wire_sweep,6764,scalar,fill,high,0,full_catalog;ELDT;Maximum shear stress (wire sweep)
stress_mises_hencky_wire_sweep,6765,scalar,last,high,0,full_catalog;ELDT;Stress; Mises-Hencky (wire sweep)
deflection_small_deflection_paddle_shift_x_compo,6770,scalar,last,high,0,force_export_all; warp_component
deflection_large_deflection_paddle_shift_x_compo,6771,scalar,last,high,0,force_export_all; warp_component
stress_in_first_principal_direction_paddle_shift,6772,scalar,last,high,0,full_catalog;ELDT;Stress in first principal direction (pad
stress_in_second_principal_direction_paddle_shif,6773,scalar,last,high,0,full_catalog;ELDT;Stress in second principal direction (pa
maximum_shear_stress_paddle_shift,6774,scalar,fill,high,0,full_catalog;ELDT;Maximum shear stress (paddle shift)
stress_mises_hencky_paddle_shift,6775,scalar,last,high,0,full_catalog;ELDT;Stress; Mises-Hencky (paddle shift)
deflection_paddle_shift_x_component_y_component,6777,scalar,last,high,0,force_export_all; warp_component
deflection_in_plane_wire_sweep,6790,scalar,last,high,0,force_export_all; warp_component
axial_stress_wire_sweep,6800,scalar,last,high,0,full_catalog;ELDT;Axial stress (wire sweep)
shear_stress_wire_sweep,6802,scalar,fill,high,0,full_catalog;ELDT;Shear stress (wire sweep)
shear_strain_wire_sweep,6806,scalar,fill,high,0,full_catalog;ELDT;Shear strain (wire sweep)
