safe,dsid,kind_hint,indp_policy,priority,already_have,notes
frozen_mpi2_0,10104,scalar,fill,high,0,full_catalog;ELDT;% Frozen (MPI2.0)
bulk_shear_rate_mpi2_0,10107,scalar,fill_and_last,high,0,full_catalog;ELDT;Bulk Shear Rate (MPI2.0)
polymer_mpi2_0,10108,scalar,last,high,0,full_catalog;ELDT;% Polymer (MPI2.0)
shear_rate_mpi2_0,10109,scalar,fill,high,0,full_catalog;ELDT;Shear rate (MPI2.0)
shear_stress_mpi2_0,10110,scalar,fill,high,0,full_catalog;ELDT;Shear stress (MPI2.0)
top_frozen_mpi2_0,10111,scalar,fill,high,0,full_catalog;ELDT;Top Frozen % (MPI2.0)
bottom_frozen_mpi2_0,10112,scalar,fill,high,0,full_catalog;ELDT;Bottom Frozen % (MPI2.0)
velocity_asymmetry_mpi2_0,10113,vector,fill,high,0,full_catalog;ELDT;Velocity Asymmetry (MPI2.0)
temperature_asymmetry_mpi2_0,10114,scalar,fill,high,0,full_catalog;ELDT;Temperature Asymmetry (MPI2.0)
average_temperature_mpi2_0,10115,scalar,fill,high,0,full_catalog;ELDT;Average Temperature (MPI2.0)
centerline_temperature_mpi2_0,10116,scalar,fill,high,0,full_catalog;ELDT;Centerline Temperature (MPI2.0)
average_cure_level_mpi2_0,10117,scalar,last,high,0,full_catalog;ELDT;Average Cure Level (MPI2.0)
cure_layer_thickness_mpi2_0,10119,scalar,last,high,0,full_catalog;ELDT;Cure Layer Thickness (MPI2.0)
max_hold_pressure_mpi2_0,10120,scalar,fill,high,0,full_catalog;NDDT;Max hold pressure (MPI2.0)
volumetric_shrinkage_mpi2_0,10122,scalar,last,high,0,full_catalog;ELDT;Volumetric Shrinkage (MPI2.0)
bottom_temperature_mpi2_0,10123,scalar,fill,high,0,full_catalog;ELDT;Bottom Temperature (MPI2.0)
top_temperature_mpi2_0,10124,scalar,fill,high,0,full_catalog;ELDT;Top Temperature (MPI2.0)
temperature_difference_mpi2_0,10125,scalar,fill,high,0,full_catalog;ELDT;Temperature Difference (MPI2.0)
average_temperature_mpi2_0,10126,scalar,fill,high,0,full_catalog;ELDT;Average Temperature (MPI2.0)
maximum_temperature_mpi2_0,10127,scalar,fill,high,0,full_catalog;ELDT;Maximum Temperature (MPI2.0)
peak_tempetature_position_mpi2_0,10128,scalar,last,high,0,full_catalog;ELDT;Peak Tempetature Position(MPI2.0)
cooling_top_frozen_mpi2_0,10129,scalar,fill,high,0,full_catalog;ELDT;Cooling top frozen %(MPI2.0)
cooling_bottom_frozen_mpi2_0,10130,scalar,fill,high,0,full_catalog;ELDT;Cooling bottom frozen %(MPI2.0)
time_to_freeze_mpi2_0,10131,scalar,last,high,0,full_catalog;ELDT;Time to Freeze (MPI2.0)
flow_rate_mpi2_0,10134,scalar,last,high,0,full_catalog;ELDT;Flow Rate (MPI2.0)
circuit_pressure_mpi2_0,10135,scalar,fill,high,0,full_catalog;ELDT;Circuit pressure (MPI2.0)
coolant_temperature_mpi2_0,10136,scalar,fill,high,0,full_catalog;ELDT;Coolant Temperature (MPI2.0)
apparent_density_mpi2_0,10137,scalar,fill_and_last,high,0,full_catalog;ELDT;Apparent Density (MPI2.0)
