tag_id,zone_id,dwell_sec,samples,dwell_ratio
worker_anon_01,OUTSIDE,122.0,122,0.2863849765258216
worker_anon_01,INSPECT_4,121.0,122,0.284037558685446
worker_anon_01,INSPECT_5,91.0,91,0.2136150234741784
worker_anon_01,BOX,45.0,45,0.1056338028169014
worker_anon_01,LABEL,36.0,36,0.08450704225352113
worker_anon_01,BUFFER,11.0,11,0.025821596244131457
